,steamid,name,kdr,accuracy,htk,shotsfired
458,76561197992454572,mrtn,1.2,16,2.9,2246231
459,76561197994460834,EnrageX,2.0,17,3.2,1348581
460,76561197995191616,ZINKEN,1.3,15,2.9,3615028
461,76561197998840887,zajp,1.1,17,2.8,7870507
462,76561197999535715,fLWsTeRn=D,1.3,17,2.8,1538654
463,76561198000078546,Uzzziii;D,1.1,16,3.0,4920733
464,76561198004284563,Shaabi,0.7,16,3.6,1451892
465,76561198004343434,flekkeKUNGAN,1.1,15,2.8,3849287
466,76561198013648847,messioso,1.0,18,3.5,1265527
467,76561198017578295,pyth =DD,1.2,15,2.7,7914056
468,76561198020637503,nEiLZiNHo,1.0,15,3.8,4895994
469,76561198027468816,freddieb,1.2,17,3.2,5729831
470,76561198033615573,Adde H,1.1,16,3.4,1519881
471,76561198035763156,falqen,1.1,17,2.6,4041607
472,76561198036987787,nookyyy,1.2,17,2.7,4813232
473,76561198047560304,Peverell,1.1,19,3.5,3519126
474,76561198082659894,rusty,1.0,17,3.4,7177525
475,76561198119098292,CRUC1AL,1.2,18,2.5,3343864
476,76561198125952236,CH,1.1,19,3.1,4996361
477,76561198148658145,hugo,1.0,14,3.1,2824600
478,76561198152158086,melloncs,1.2,17,3.5,1776642
479,76561198153092130,hns =DD,1.0,18,3.3,4944631
480,76561198153651861,nawwk,1.2,18,2.6,4122451
